Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Ryan Palmer,16.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,1.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,2.0
Kevin Na,17.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,1.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,2.0
Marc Leishman,18.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,1.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,2.0
Joaquin Niemann,18.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,1.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,2.0
Billy Horschel,19.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,1.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,2.0
Xander Schauffele,0.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,1.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,2.0
Scottie Scheffler,3.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,1.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,2.0
Dustin Johnson,4.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,1.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,2.0
Justin Thomas,4.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,1.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,2.0
Tyrrell Hatton,5.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,1.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,2.0
Jon Rahm,6.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,1.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,2.0
Sebastián Muñoz,7.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,1.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,2.0
Collin Morikawa,7.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,1.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,2.0
Mackenzie Hughes,7.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,1.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,2.0
Patrick Reed,7.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,1.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,2.0
Rory McIlroy,7.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,1.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,2.0
Sungjae Im,9.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,1.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,2.0
Harris English,10.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,1.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,2.0
Tony Finau,11.0,11.0,7.0,41.07,63.89,1.761,-0.08,65.38,1.38,2.0,1.0,11.0,7.0,41.07,63.89,1.761,-0.08,65.38,1.38,2.0,2.0
Viktor Hovland,11.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,1.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,2.0
Abraham Ancer,11.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,1.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,2.0
Daniel Berger,12.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,1.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,2.0
Webb Simpson,12.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,1.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,2.0
Hideki Matsuyama,12.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,1.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,2.0
Lanto Griffin,12.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,1.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,2.0
Brendon Todd,14.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,1.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,2.0
Kevin Kisner,15.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,1.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,2.0
Cameron Smith,15.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,1.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,2.0
Cameron Champ,15.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,1.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,2.0
Bryson DeChambeau,16.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,1.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,2.0
Ryan Palmer,16.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,1.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,2.0
Kevin Na,17.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,1.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,2.0
Marc Leishman,18.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,1.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,2.0
Joaquin Niemann,18.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,1.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,2.0
Billy Horschel,19.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,1.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,2.0
Xander Schauffele,0.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,1.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,2.0
Scottie Scheffler,3.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,1.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,2.0
Dustin Johnson,4.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,1.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,2.0
Justin Thomas,4.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,1.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,2.0
Tyrrell Hatton,5.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,1.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,2.0
Jon Rahm,6.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,1.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,2.0
Sebastián Muñoz,7.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,1.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,2.0
Collin Morikawa,7.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,1.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,2.0
Mackenzie Hughes,7.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,1.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,2.0
Patrick Reed,7.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,1.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,2.0
Rory McIlroy,7.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,1.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,2.0
Sungjae Im,9.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,1.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,2.0
Harris English,10.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,1.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,2.0
Tony Finau,11.0,11.0,7.0,41.07,63.89,1.761,-0.08,65.38,1.38,2.0,1.0,11.0,7.0,41.07,63.89,1.761,-0.08,65.38,1.38,2.0,2.0
Viktor Hovland,11.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,1.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,2.0
Abraham Ancer,11.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,1.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,2.0
Daniel Berger,12.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,1.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,2.0
Webb Simpson,12.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,1.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,2.0
Hideki Matsuyama,12.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,1.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,2.0
Lanto Griffin,12.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,1.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,2.0
Brendon Todd,14.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,1.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,2.0
Kevin Kisner,15.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,1.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,2.0
Cameron Smith,15.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,1.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,2.0
Cameron Champ,15.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,1.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,2.0
Bryson DeChambeau,16.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,1.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,2.0
Ryan Palmer,16.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,1.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,2.0
Kevin Na,17.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,1.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,2.0
Marc Leishman,18.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,1.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,2.0
Joaquin Niemann,18.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,1.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,2.0
Billy Horschel,19.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,1.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,2.0
Xander Schauffele,0.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,1.0,4.0,9.0,66.07,62.5,1.711,1.8,92.59,7.0,10.0,2.0
Scottie Scheffler,3.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,1.0,6.0,7.0,55.36,61.11,1.818,1.3,78.57,2.0,2.0,2.0
Dustin Johnson,4.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,1.0,5.0,8.0,57.14,70.83,1.667,1.55,52.38,1.75,1.0,2.0
Justin Thomas,4.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,1.0,0.0,7.0,69.64,70.83,1.745,2.8,76.19,3.17,3.0,2.0
Tyrrell Hatton,5.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,1.0,20.0,12.0,60.71,65.28,1.766,-2.2,40.0,0.82,16.0,2.0
Jon Rahm,6.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,1.0,14.0,15.0,58.93,62.5,1.711,-0.7,51.85,1.13,5.0,2.0
Sebastián Muñoz,7.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,1.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,4.0
Collin Morikawa,7.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,1.0,7.0,12.0,76.79,73.61,1.736,1.05,57.89,1.67,3.0,2.0
Mackenzie Hughes,7.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,1.0,11.0,10.0,58.93,61.11,1.705,0.05,57.14,1.25,5.0,2.0
Patrick Reed,7.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,1.0,12.0,11.0,50.0,54.17,1.615,-0.2,63.64,1.25,3.0,2.0
Rory McIlroy,7.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,1.0,12.0,10.0,62.5,68.06,1.857,-0.2,69.57,1.1,15.0,2.0
Sungjae Im,9.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,1.0,10.0,6.0,64.29,59.72,1.674,0.3,68.97,1.56,1.0,2.0
Harris English,10.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,1.0,6.0,5.0,66.07,77.78,1.696,1.8,62.5,2.88,3.0,3.0
Tony Finau,11.0,11.0,7.0,41.07,63.89,1.761,-0.08,65.38,1.38,2.0,1.0,17.0,9.0,48.21,51.39,1.784,-1.45,65.71,0.83,4.0,2.0
Viktor Hovland,11.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,1.0,16.0,13.0,62.5,62.5,1.8,-1.2,55.56,1.0,8.0,2.0
Abraham Ancer,11.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,1.0,6.0,13.0,73.21,70.83,1.706,1.3,66.67,2.13,14.0,2.0
Daniel Berger,12.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,1.0,3.0,9.0,57.14,69.44,1.72,2.05,72.73,2.43,1.0,2.0
Webb Simpson,12.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,1.0,5.0,6.0,66.07,66.67,1.646,1.55,58.33,1.73,1.0,2.0
Hideki Matsuyama,12.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,1.0,7.0,10.0,55.36,73.61,1.736,1.05,52.63,1.45,1.0,2.0
Lanto Griffin,12.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,1.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,4.0
Brendon Todd,14.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,1.0,6.0,0.0,66.07,65.28,1.681,1.3,68.0,1.7,4.0,2.0
Kevin Kisner,15.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,1.0,8.0,9.0,60.71,55.56,1.55,0.8,62.5,1.5,1.0,2.0
Cameron Smith,15.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,1.0,16.0,15.0,48.21,52.78,1.737,-1.2,64.71,0.92,2.0,2.0
Cameron Champ,15.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,1.0,8.0,10.0,51.79,62.5,1.711,0.8,66.67,1.55,1.0,2.0
Bryson DeChambeau,16.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,1.0,9.0,11.0,51.79,58.33,1.619,0.55,56.67,1.5,1.0,2.0
Ryan Palmer,16.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,1.0,6.0,9.0,69.64,68.06,1.735,1.3,73.91,2.33,2.0,2.0
Kevin Na,17.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,1.0,10.0,7.0,64.29,61.11,1.682,0.3,64.29,1.46,2.0,2.0
Marc Leishman,18.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,1.0,14.0,10.0,58.93,61.11,1.705,-0.7,53.57,1.08,2.0,2.0
Joaquin Niemann,18.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,1.0,14.0,17.0,64.29,65.28,1.702,-0.7,40.0,1.06,1.0,2.0
Billy Horschel,19.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,1.0,8.0,11.0,64.29,59.72,1.628,0.8,55.17,1.43,3.0,2.0
Xander Schauffele,0.0,4.0,9.0,66.07,62.5,1.711,1.8,92.59,7.0,10.0,1.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,3.0
Scottie Scheffler,3.0,6.0,7.0,55.36,61.11,1.818,1.3,78.57,2.0,2.0,1.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,3.0
Dustin Johnson,4.0,5.0,8.0,57.14,70.83,1.667,1.55,52.38,1.75,1.0,1.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,3.0
Justin Thomas,4.0,0.0,7.0,69.64,70.83,1.745,2.8,76.19,3.17,3.0,1.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,3.0
Tyrrell Hatton,5.0,20.0,12.0,60.71,65.28,1.766,-2.2,40.0,0.82,16.0,1.0,5.0,1.0,57.14,69.44,1.7,1.42,68.18,2.0,3.0,3.0
Jon Rahm,6.0,14.0,15.0,58.93,62.5,1.711,-0.7,51.85,1.13,5.0,1.0,6.0,7.0,46.43,69.44,1.72,1.17,77.27,2.43,9.0,3.0
Sebastián Muñoz,7.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,3.0,7.0,4.0,67.86,69.44,1.66,0.92,63.64,2.0,4.0,6.0
Collin Morikawa,7.0,7.0,12.0,76.79,73.61,1.736,1.05,57.89,1.67,3.0,1.0,7.0,4.0,64.29,66.67,1.604,0.92,50.0,1.75,2.0,3.0
Mackenzie Hughes,7.0,11.0,10.0,58.93,61.11,1.705,0.05,57.14,1.25,5.0,1.0,7.0,7.0,48.21,56.94,1.634,0.92,74.19,1.89,9.0,3.0
Patrick Reed,7.0,12.0,11.0,50.0,54.17,1.615,-0.2,63.64,1.25,3.0,1.0,7.0,5.0,73.21,68.06,1.776,0.92,82.61,2.6,8.0,3.0
Rory McIlroy,7.0,12.0,10.0,62.5,68.06,1.857,-0.2,69.57,1.1,15.0,1.0,7.0,3.0,50.0,62.5,1.733,0.92,66.67,1.8,19.0,3.0
Sungjae Im,9.0,10.0,6.0,64.29,59.72,1.674,0.3,68.97,1.56,1.0,1.0,9.0,0.0,67.86,73.61,1.736,0.42,47.37,1.58,2.0,3.0
Harris English,10.0,6.0,5.0,66.07,77.78,1.696,1.8,62.5,2.88,3.0,2.0,10.0,7.0,60.71,66.67,1.688,0.17,54.17,1.38,8.0,3.0
Tony Finau,11.0,17.0,9.0,48.21,51.39,1.784,-1.45,65.71,0.83,4.0,1.0,3.0,1.0,51.79,83.33,1.667,2.55,50.0,3.5,3.0,2.0
Viktor Hovland,11.0,16.0,13.0,62.5,62.5,1.8,-1.2,55.56,1.0,8.0,1.0,11.0,6.0,64.29,75.0,1.778,-0.08,55.56,1.44,12.0,3.0
Abraham Ancer,11.0,6.0,13.0,73.21,70.83,1.706,1.3,66.67,2.13,14.0,1.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,3.0
Daniel Berger,12.0,3.0,9.0,57.14,69.44,1.72,2.05,72.73,2.43,1.0,1.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,3.0
Webb Simpson,12.0,5.0,6.0,66.07,66.67,1.646,1.55,58.33,1.73,1.0,1.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,3.0
Hideki Matsuyama,12.0,7.0,10.0,55.36,73.61,1.736,1.05,52.63,1.45,1.0,1.0,12.0,8.0,51.79,66.67,1.771,-0.33,66.67,1.3,5.0,3.0
Lanto Griffin,12.0,12.0,4.0,53.57,58.33,1.69,-0.33,60.0,1.23,6.0,3.0,10.0,4.0,69.64,75.0,1.741,1.28,72.22,3.17,2.0,5.0
Brendon Todd,14.0,6.0,0.0,66.07,65.28,1.681,1.3,68.0,1.7,4.0,1.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,3.0
Kevin Kisner,15.0,8.0,9.0,60.71,55.56,1.55,0.8,62.5,1.5,1.0,1.0,15.0,8.0,50.0,59.72,1.698,-1.08,58.62,1.07,6.0,3.0
Cameron Smith,15.0,16.0,15.0,48.21,52.78,1.737,-1.2,64.71,0.92,2.0,1.0,15.0,4.0,55.36,65.28,1.638,-1.08,40.0,1.2,6.0,3.0
Cameron Champ,15.0,8.0,10.0,51.79,62.5,1.711,0.8,66.67,1.55,1.0,1.0,15.0,7.0,62.5,68.06,1.735,-1.08,47.83,1.07,2.0,3.0
Bryson DeChambeau,16.0,9.0,11.0,51.79,58.33,1.619,0.55,56.67,1.5,1.0,1.0,16.0,9.0,58.93,66.67,1.896,-1.33,54.17,0.92,2.0,3.0
Ryan Palmer,16.0,6.0,9.0,69.64,68.06,1.735,1.3,73.91,2.33,2.0,1.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,3.0
Kevin Na,17.0,10.0,7.0,64.29,61.11,1.682,0.3,64.29,1.46,2.0,1.0,17.0,7.0,64.29,55.56,1.825,-1.58,68.75,0.82,3.0,3.0
Marc Leishman,18.0,14.0,10.0,58.93,61.11,1.705,-0.7,53.57,1.08,2.0,1.0,18.0,9.0,46.43,52.78,1.632,-1.83,50.0,0.76,2.0,3.0
Joaquin Niemann,18.0,14.0,17.0,64.29,65.28,1.702,-0.7,40.0,1.06,1.0,1.0,18.0,12.0,53.57,56.94,1.756,-1.83,64.52,0.92,2.0,3.0
Billy Horschel,19.0,8.0,11.0,64.29,59.72,1.628,0.8,55.17,1.43,3.0,1.0,19.0,11.0,41.07,50.0,1.694,-2.08,55.56,0.82,2.0,3.0
Justin Thomas,0.0,4.0,5.0,53.57,73.61,1.642,1.67,52.63,2.0,7.0,2.0,0.0,3.0,67.86,72.22,1.635,4.38,80.0,5.5,1.0,3.0
Tom Lewis,3.0,9.0,9.0,60.71,81.94,1.78,1.05,53.85,2.5,2.0,1.0,9.0,7.0,69.64,76.39,1.673,1.53,64.71,2.75,1.0,4.0
Brooks Koepka,3.0,7.0,1.0,50.0,68.06,1.714,1.53,65.22,1.78,15.0,30.0,15.0,7.0,53.57,65.28,1.617,0.43,52.0,1.67,14.0,31.0
Daniel Berger,3.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,2.0,12.0,8.0,50.0,58.33,1.786,-0.33,73.33,1.33,5.0,5.0
Phil Mickelson,3.0,19.0,11.0,50.0,61.11,1.795,-0.37,53.57,1.07,2.0,3.0,14.0,7.0,58.93,70.83,1.804,0.68,61.9,1.45,3.0,21.0
Louis Oosthuizen,4.0,23.0,7.0,57.14,55.56,1.725,-1.37,50.0,0.88,2.0,3.0,20.0,8.0,58.93,56.94,1.634,-1.0,54.84,1.06,12.0,10.0
Chez Reavie,4.0,10.0,11.0,78.57,72.22,1.673,1.88,60.0,2.25,3.0,3.0,15.0,13.0,67.86,65.28,1.787,0.25,60.0,1.4,3.0,10.0
Jason Day,4.0,8.0,9.0,62.5,66.67,1.646,2.38,66.67,2.2,1.0,3.0,13.0,11.0,57.69,66.67,1.792,1.01,66.67,1.5,3.0,23.0
Matt Fitzpatrick,4.0,12.0,11.0,67.86,68.06,1.694,1.38,56.52,1.91,1.0,3.0,16.0,11.0,66.07,70.83,1.824,0.0,47.62,1.13,17.0,10.0
Xander Schauffele,4.0,0.0,0.0,53.57,69.44,1.62,2.67,77.27,4.2,14.0,2.0,9.0,11.0,53.57,69.44,1.68,2.13,59.09,2.22,8.0,3.0
Shane Lowry,4.0,15.0,10.0,57.14,65.28,1.66,0.63,44.0,1.31,2.0,3.0,15.0,10.0,62.5,70.83,1.843,0.25,76.19,1.44,9.0,10.0
Byeong Hun An,5.0,15.0,13.0,51.79,68.06,1.796,0.25,60.87,1.17,3.0,10.0,9.0,7.0,46.43,62.5,1.644,1.93,62.96,1.82,3.0,21.0
Webb Simpson,5.0,12.0,9.0,66.07,61.11,1.705,-0.33,57.14,1.33,5.0,2.0,8.0,0.0,76.79,75.0,1.704,1.78,66.67,3.5,2.0,4.0
Dustin Johnson,5.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,2.0,4.0,5.0,42.86,69.44,1.68,1.67,63.64,2.22,5.0,5.0
Brendon Todd,6.0,14.0,3.0,67.86,61.11,1.727,-0.83,60.71,1.09,3.0,2.0,15.0,5.0,71.43,76.39,1.727,0.03,52.94,1.8,2.0,4.0
Rickie Fowler,6.0,11.0,10.0,73.21,62.5,1.644,1.63,55.56,1.54,2.0,3.0,9.0,6.0,67.86,80.56,1.707,1.53,64.29,3.8,1.0,4.0
Ryan Palmer,6.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,2.0,16.0,12.0,48.21,56.94,1.634,-1.33,41.94,0.89,6.0,5.0
Abraham Ancer,6.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,2.0,11.0,3.0,62.5,68.06,1.796,-0.08,56.52,1.23,2.0,5.0
Scottie Scheffler,6.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,2.0,3.0,5.0,57.14,73.61,1.717,1.92,73.68,3.4,6.0,5.0
Joel Dahmen,7.0,5.0,9.0,58.93,61.11,1.614,2.78,78.57,3.17,4.0,20.0,37.0,20.0,48.08,50.0,1.833,-4.99,44.44,0.36,3.0,23.0
Erik van Rooyen,7.0,3.0,1.0,41.07,72.22,1.615,3.25,55.0,2.27,1.0,10.0,17.0,11.0,51.79,55.56,1.625,-0.07,62.5,1.31,8.0,21.0
Christiaan Bezuidenhout,7.0,15.0,13.0,58.93,66.67,1.75,0.25,62.5,1.4,2.0,10.0,10.0,8.0,58.93,52.78,1.553,1.68,61.76,1.54,1.0,21.0
